OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N0.HOG0000486,-20688.720946,-20672.529171,-20657.551188,-20689.798978,-20892.798693,0.18531,0.16545,0.17707,0.10134,0.19076,0.09573
N0.HOG0000489,-14848.838929,-14848.83893,-14845.268129,-14845.268129,-14950.004267,0.20368,0.20368,0.21024,0.14685,0.21025,0.14685
N0.HOG0000491,-16395.042847,-16395.042859,-16377.494507,-16377.494256,-16554.587273,0.18926,0.1893,0.20088,0.08713,0.20092,0.087
N0.HOG0000497,-17320.88334,-17320.88334,-17319.569809,-17319.569809,-17425.328992,0.19613,0.19613,0.19964,0.16433,0.19964,0.16432
N0.HOG0000499,-14687.44194,-14687.44194,-14685.795114,-14685.795114,-14783.203888,0.15478,0.15478,0.15123,0.18771,0.15123,0.18771
N0.HOG0000501,-21373.141806,-21373.141806,-21366.80281,-21366.80281,-21453.692606,0.23618,0.23618,0.24343,0.14253,0.24342,0.14253
N0.HOG0000502,-29324.114535,-29324.114535,-29302.168019,-29302.168019,-29491.527904,0.2716,0.2716,0.28648,0.14571,0.28648,0.14571
N0.HOG0000504,-23196.009156,-23196.009156,-23194.401541,-23194.401541,-23336.982625,0.24452,0.24452,0.24906,0.20918,0.24906,0.20918
N0.HOG0000506,-34505.883964,-34505.883965,-34500.984469,-34500.984469,-34872.482236,0.22547,0.22547,0.21528,0.25676,0.21528,0.25676
N0.HOG0000507,-17888.806127,-17888.806126,-17887.754996,-17887.754996,-18073.99352,0.15926,0.15926,0.16222,0.139,0.16222,0.139
N0.HOG0000508,-17965.973945,-17965.973945,-17964.507224,-17964.507224,-18023.584528,0.27469,0.27469,0.27881,0.21996,0.27881,0.21996
N0.HOG0000509,-15045.834591,-15045.834591,-15035.319462,-15035.319462,-15265.399949,0.1443,0.1443,0.15289,0.08393,0.15289,0.08393
N0.HOG0000510,-18618.384949,-18618.384949,-18617.30243,-18617.30243,-18672.086216,0.32425,0.32425,0.31679,0.366,0.31679,0.366
N0.HOG0000514,-22113.200459,-22113.200459,-22097.235205,-22097.235205,-22346.304413,0.21658,0.21658,0.23174,0.13309,0.23174,0.1331
N0.HOG0000515,-15108.284654,-15108.284654,-15102.47983,-15102.47983,-15259.368105,0.2024,0.2024,0.21246,0.14134,0.21246,0.14134
N0.HOG0000516,-17982.449088,-17982.449088,-17981.103171,-17981.103171,-18075.186832,0.19249,0.19249,0.19518,0.15606,0.19518,0.15606
N0.HOG0000517,-27744.041163,-24844.900281,-25658.234357,-25100.538323,-26709.304516,2.00006,0.20548,0.22196,0.80348,0.20669,1.16248
N0.HOG0000519,-26212.207896,-26212.207896,-26189.705505,-26189.705505,-26544.411264,0.23914,0.23914,0.26104,0.1569,0.26104,0.1569
N0.HOG0000522,-14032.757374,-14032.757374,-14031.245107,-14031.245107,-14157.795302,0.18175,0.18175,0.187,0.1517,0.187,0.1517
N0.HOG0000530,-23386.478073,-19907.353723,-20837.588746,-19719.75604,-20033.917876,2,0.11484,0.20962,2.27475,0.14333,0.08628
N0.HOG0000531,-48185.30553,-48185.302238,-48117.195193,-48117.222469,-49769.697723,0.15504,0.155,0.18151,0.10196,0.1815,0.10153
N0.HOG0000535,-21283.174136,-20766.487154,-20991.055602,-20759.64212,-22959.66321,0.06785,0.05428,0.06278,0.21152,0.06347,0.03531
N0.HOG0000542,-32214.147077,-32214.147077,-32110.866152,-32110.866151,-33196.275246,0.12678,0.12678,0.15436,0.0636,0.15436,0.0636
N0.HOG0000557,-19397.496786,-18444.088549,-18444.432467,-18648.895407,-18713.141077,0.16084,0.10516,0.12023,0.02817,0.11439,1e-04
N0.HOG0000561,-28674.736961,-28674.736961,-28646.214908,-28646.214908,-29844.100715,0.10294,0.10294,0.11876,0.06944,0.11876,0.06943
N0.HOG0000566,-21385.635448,-21385.635449,-21384.031097,-21384.031096,-21680.664445,0.17687,0.17686,0.18132,0.15557,0.18132,0.15556
N0.HOG0000567,-31937.300482,-31937.300462,-31920.820032,-31920.820032,-32532.28593,0.18103,0.18103,0.19515,0.13304,0.19515,0.13303
N0.HOG0000571,-57592.954014,-57383.670991,-57343.416514,-57486.507469,-59513.503803,0.4316,0.26233,0.29601,0.22688,0.48022,0.21634
N0.HOG0000578,-141386.418533,-141386.418533,-141220.931791,-141220.931791,-144204.869988,0.26107,0.26107,0.30959,0.19463,0.30959,0.19463
N0.HOG0000580,-37314.462051,-37314.462054,-37298.281857,-37298.281859,-37774.0579,0.27652,0.27653,0.29726,0.21683,0.29727,0.21683
N0.HOG0000587,-11553.87588,-11553.87588,-11553.866111,-11553.866111,-11632.177694,0.26837,0.26837,0.26751,0.27169,0.26751,0.27169
N0.HOG0000588,-30477.995906,-30477.995906,-30471.31508,-30471.31508,-30950.033352,0.28631,0.28631,0.30863,0.25274,0.30863,0.25274
N0.HOG0000595,-11922.861402,-11922.861402,-11922.70019,-11922.70019,-11946.795839,0.29317,0.29317,0.29117,0.31939,0.29117,0.31939
N0.HOG0000600,-18414.824694,-18414.824694,-18413.729754,-18413.729754,-18465.856154,0.13676,0.13676,0.13828,0.11056,0.13828,0.11056
N0.HOG0000605,-23228.987099,-23228.987105,-23227.286055,-23227.286055,-23396.611408,0.27397,0.27397,0.28049,0.24169,0.28047,0.24166
N0.HOG0000616,-29184.845395,-29184.845395,-29182.598081,-29182.598081,-29204.214129,0.29418,0.29417,0.29055,0.3896,0.29055,0.38958
N0.HOG0000622,-30821.167808,-30821.167803,-30813.802646,-30813.802647,-30947.320363,0.12044,0.12043,0.12255,0.05798,0.12255,0.05797
N0.HOG0000631,-21091.238016,-21091.240804,-21061.897209,-21061.896979,-21786.962859,0.10093,0.10093,0.1161,0.05526,0.1161,0.05526
N0.HOG0000673,-65903.893672,-54302.537207,-58056.669262,-56447.153735,-62291.975689,1.9991,0.0388,0.02936,2.40321,0.105,0.81553
N0.HOG0000675,-22405.402264,-22360.107574,-26483.254806,-24912.414341,-23161.006246,0.03271,0.03635,2.29024,1e-04,0.42496,0.566
N0.HOG0000685,-368649.549685,-368649.549685,-368574.435531,-368574.435531,-370204.64744,0.50728,0.50728,0.54265,0.44104,0.54265,0.44104
N0.HOG0000692,-22567.790228,-22567.790228,-22556.074816,-22556.074816,-22704.127156,0.24105,0.24104,0.25076,0.143,0.25076,0.143
N0.HOG0000697,-29811.701178,-29811.701179,-29796.698081,-29796.698079,-29998.049823,0.31126,0.31126,0.32781,0.21186,0.3278,0.21187
N0.HOG0000698,-42655.155592,-42655.173879,-42634.511454,-42634.52846,-43086.984926,0.30613,0.30598,0.33151,0.23705,0.33114,0.23804
N0.HOG0000700,-36780.131502,-36780.131502,-36747.003761,-36747.003761,-37358.245484,0.29484,0.29485,0.33438,0.21954,0.33439,0.21954
N0.HOG0000725,-30471.272678,-30471.272678,-30444.90737,-30444.90737,-30625.320705,0.27584,0.27585,0.29064,0.12953,0.29064,0.12952
N0.HOG0000730,-49908.360504,-49908.360506,-49886.777016,-49886.777016,-50234.285384,0.29388,0.29388,0.31085,0.20671,0.31086,0.2067
N0.HOG0000731,-45802.897811,-45802.89781,-45800.177311,-45800.177311,-46282.50651,0.24212,0.24212,0.24819,0.21934,0.24819,0.21933
N0.HOG0000732,-41105.158329,-41105.158329,-41076.980811,-41076.980812,-41515.259228,0.20316,0.20316,0.21533,0.12202,0.21533,0.12201
N0.HOG0000742,-47710.552198,-47710.552198,-47688.179216,-47688.179216,-48429.143714,0.27692,0.27692,0.30514,0.22482,0.30514,0.22482
N0.HOG0000764,-46434.197845,-46434.197839,-46373.012452,-46373.012469,-47570.480909,0.22855,0.22851,0.27764,0.16491,0.27765,0.16493
N0.HOG0000765,-39490.497145,-36180.046072,-36917.478841,-36138.113169,-36761.665837,2.00007,0.29507,0.33496,0.23857,0.27464,0.20165
N0.HOG0000837,-152486.171178,-152486.171178,-152395.484895,-152395.484895,-154404.363925,0.2949,0.2949,0.3304,0.22943,0.3304,0.22943
N0.HOG0000921,-37184.010824,-37184.010824,-37164.782081,-37164.782081,-37950.423828,0.27237,0.27237,0.30887,0.22879,0.30887,0.22879
N0.HOG0000952,-56143.603056,-56143.603056,-56124.081625,-56124.081625,-57025.411458,0.27013,0.27013,0.29726,0.22745,0.29726,0.22745
N0.HOG0000962,-304134.041467,-304134.041467,-304116.992447,-304116.992447,-306005.835776,0.4124,0.4124,0.42729,0.38394,0.42729,0.38394
N0.HOG0001133,-73376.426551,-73376.42704,-73361.869914,-73361.869741,-73701.104809,0.3925,0.39234,0.40818,0.31828,0.40819,0.31852
N0.HOG0001140,-20289.094586,-20289.094586,-20276.811856,-20276.811856,-20378.8388,0.20292,0.20292,0.21009,0.08937,0.21009,0.08937
N0.HOG0001155,-36502.880906,-36502.880906,-36481.616792,-36481.616792,-36768.485241,0.28907,0.28907,0.30909,0.19349,0.30909,0.19349
N0.HOG0001157,-69967.174163,-69967.174163,-69920.190858,-69920.190858,-70682.71363,0.2388,0.2388,0.25395,0.15607,0.25395,0.15607
N0.HOG0001159,-127851.069755,-127877.479807,-127701.416032,-127708.778561,-130727.63352,0.18393,0.20324,0.21537,0.13505,0.21803,0.13327
N0.HOG0001161,-76891.572468,-76891.572468,-76824.790364,-76824.790364,-77411.234671,0.251,0.251,0.26562,0.12949,0.26562,0.12949
N0.HOG0001163,-57747.35595,-57750.740192,-62207.513147,-57741.782294,-58857.799929,0.23281,0.22864,1.90198,0.14934,0.24186,0.18394
N0.HOG0001164,-53753.97184,-53753.97186,-53714.133186,-53714.133043,-54531.318119,0.21268,0.21267,0.23244,0.14358,0.23238,0.14356
N0.HOG0001168,-225825.137774,-225825.137775,-225524.947117,-225524.947116,-229213.585289,0.25973,0.25973,0.29552,0.16464,0.29552,0.16464
N0.HOG0001171,-60227.30353,-60227.299421,-60173.365914,-60173.365821,-60608.983234,0.26748,0.26766,0.28494,0.13572,0.28489,0.13577
N0.HOG0001175,-23835.90273,-23835.90273,-23827.043742,-23827.043742,-24065.324086,0.17081,0.17081,0.17741,0.11466,0.17741,0.11466
N0.HOG0001178,-27268.413605,-27268.413605,-27267.086592,-27267.086592,-27497.954424,0.16675,0.16675,0.16928,0.1459,0.16927,0.1459
N0.HOG0001181,-31108.336876,-31108.336885,-31107.211617,-31107.211616,-31294.828263,0.40934,0.40938,0.42101,0.38598,0.42102,0.38597
N0.HOG0001191,-44255.550265,-43643.97856,-43888.791574,-45762.195119,-44319.277831,0.11685,0.13368,0.12633,0.11926,0.16969,0.07695
N0.HOG0001193,-36072.020178,-29355.538873,-29455.235893,-29358.820304,-29885.229834,2.00145,0.0718,0.10658,0.02364,0.10485,0.03084
N0.HOG0001195,-31047.555349,-31047.556279,-31049.526631,-31030.124,-31372.571708,0.10684,0.10683,0.11691,0.10955,0.11153,0.0507
N0.HOG0001196,-48005.01619,-41139.651338,-42030.644457,-41546.501642,-45003.707945,1.9013,0.1105,0.13649,2.18117,0.1172,0.93101
N0.HOG0001197,-41707.324168,-41707.324169,-41662.246386,-41662.246386,-42656.556258,0.12882,0.12882,0.14075,0.07473,0.14076,0.07473
N0.HOG0001200,-41846.916749,-41846.916749,-41776.759741,-41776.759741,-42562.89667,0.14371,0.14371,0.15687,0.0622,0.15687,0.0622
N0.HOG0001202,-21969.855222,-21969.855222,-21955.694867,-21955.694867,-22095.780881,0.14038,0.14038,0.14438,0.0475,0.14438,0.0475
N0.HOG0001209,-46298.510946,-46298.510945,-46290.60802,-46290.60802,-46844.199352,0.20797,0.20797,0.21606,0.17262,0.21606,0.17262
N0.HOG0001212,-38391.403478,-38391.403476,-38391.360815,-38391.360813,-38595.275857,0.27036,0.27036,0.26943,0.27475,0.26945,0.27473
N0.HOG0001237,-28771.049892,-28771.049897,-28763.22717,-28763.228199,-29046.33258,0.31835,0.31837,0.3409,0.26601,0.3409,0.26542
N0.HOG0001257,-38764.364103,-38764.364102,-38744.007639,-38744.007639,-39298.285349,0.32864,0.32863,0.37161,0.27016,0.37161,0.27015
N0.HOG0001273,-16827.984689,-16827.984689,-16823.865233,-16823.865233,-16889.571697,0.41991,0.41991,0.44975,0.33281,0.44975,0.33281
N0.HOG0001285,-49774.958141,-49774.958141,-49772.412099,-49772.4121,-50068.577024,0.28571,0.28571,0.29156,0.25567,0.29157,0.25568
N0.HOG0001376,-44994.693112,-44994.691832,-44994.046762,-44994.046759,-45251.436642,0.32278,0.32292,0.31799,0.33741,0.31795,0.33735
N0.HOG0001377,-36154.550733,-36154.550733,-36153.669237,-36153.669237,-36338.105637,0.36254,0.36254,0.35375,0.38162,0.35375,0.38162
N0.HOG0001382,-29194.900481,-29194.900527,-29194.763334,-29194.763335,-29450.221881,0.26967,0.26966,0.26715,0.27623,0.26714,0.27622
N0.HOG0001387,-41593.513552,-41593.513552,-41589.028149,-41589.028149,-41866.15541,0.36232,0.36232,0.38288,0.32387,0.38288,0.32387
N0.HOG0001394,-29171.349429,-29171.349429,-29167.84035,-29167.84035,-29511.81604,0.28146,0.28146,0.30179,0.25491,0.30179,0.25491
N0.HOG0001462,-158791.610522,-158791.610522,-158685.547058,-158685.547058,-162143.556183,0.26413,0.26413,0.30746,0.21872,0.30745,0.21872
N0.HOG0001464,-39982.567448,-39982.567448,-39956.372061,-39956.372061,-40195.759194,0.21212,0.21212,0.22088,0.10127,0.22088,0.10127
N0.HOG0001467,-59187.253684,-59187.253684,-59127.612296,-59127.612296,-59577.255274,0.25796,0.25796,0.27316,0.12481,0.27316,0.12481
N0.HOG0001469,-38674.671266,-38674.671266,-38634.322653,-38634.322653,-38976.339415,0.33172,0.33172,0.37243,0.20905,0.37243,0.20905
N0.HOG0001470,-53614.951937,-53614.951937,-53612.092519,-53612.092519,-53784.53132,0.21949,0.21949,0.21656,0.25642,0.21656,0.25642
N0.HOG0001475,-45967.709165,-45967.709165,-45958.845164,-45958.845164,-46106.694952,0.21357,0.21357,0.21845,0.13131,0.21845,0.13132
N0.HOG0001476,-38473.637615,-38473.637615,-38469.097786,-38469.097786,-38676.500771,0.2444,0.2444,0.24991,0.19567,0.24991,0.19567
N0.HOG0001477,-50211.061493,-50211.061493,-50207.808314,-50207.808313,-50311.669744,0.33603,0.33603,0.34115,0.27251,0.34115,0.27251
N0.HOG0001478,-56403.965534,-56403.965533,-56388.050449,-56388.050453,-56567.219633,0.25951,0.25951,0.26632,0.1534,0.26632,0.1534
N0.HOG0001485,-47804.746193,-47804.745148,-47747.220179,-47747.145043,-48104.019526,0.28046,0.2804,0.29879,0.12956,0.29922,0.12979
N0.HOG0001486,-45974.667257,-45974.667257,-45958.055161,-45958.055161,-46243.962844,0.25801,0.25801,0.2687,0.17573,0.2687,0.17572
N0.HOG0001487,-41355.391182,-40710.781397,-41882.907876,-40653.091749,-40984.601014,0.45269,0.23116,0.28205,0.1373,0.20637,0.09508
N0.HOG0001489,-33385.304655,-33385.304655,-33367.269224,-33367.269224,-33446.799192,0.23803,0.23802,0.24295,0.06217,0.24295,0.06215
N0.HOG0001495,-36899.102066,-36866.552134,-36900.882794,-36870.210068,-37258.248336,0.1839,0.15772,0.18021,0.22847,0.17682,0.17345
N0.HOG0001509,-55423.474675,-55423.474683,-55362.820427,-55362.820427,-56142.433909,0.19536,0.19537,0.21263,0.10974,0.21264,0.10975
N0.HOG0001511,-35103.252357,-35103.252357,-35092.954333,-35092.954333,-35259.560492,0.22816,0.22816,0.23441,0.14392,0.23441,0.14392
N0.HOG0001514,-51193.924956,-52383.885406,-53806.569764,-50836.767442,-53299.688923,0.14052,0.5,0.15291,5.94669,0.20509,0.1174
N0.HOG0001520,-46308.657911,-46308.657393,-46301.921201,-46301.921888,-47700.94686,0.13462,0.1347,0.14262,0.11942,0.14258,0.11938
N0.HOG0001523,-153773.495004,-153767.741582,-153781.513585,-154220.080438,-156474.488162,0.16357,0.16938,0.1909,0.14168,0.20475,0.15889
N0.HOG0001524,-67890.859803,-67890.859771,-67851.911807,-67851.911804,-68496.575477,0.14659,0.14658,0.1527,0.07677,0.1527,0.07676
N0.HOG0001536,-50186.786809,-50186.786808,-50186.780891,-50186.780891,-51215.880248,0.1302,0.1302,0.13037,0.12963,0.13037,0.12963
N0.HOG0001537,-94503.018745,-93288.984825,-93258.568673,-93294.964881,-96468.023266,0.27902,0.19707,0.20587,0.14316,0.20127,0.13286
N0.HOG0001542,-35673.535056,-30300.877168,-30362.750754,-30299.003127,-30718.540304,2.07688,0.11023,0.1312,0.05398,0.10133,0.04846
N0.HOG0001544,-65694.341053,-66345.061928,-67338.339548,-65931.761949,-66793.044343,0.13164,0.11331,0.16904,0.1426,0.14402,0.12447
N0.HOG0001550,-38449.995126,-38155.244077,-39069.730254,-39318.296118,-39835.132877,0.35309,0.2114,0.14492,0.11701,0.65227,0.47429
N0.HOG0001552,-44031.723266,-44031.723266,-43934.848324,-43934.848324,-44645.198276,0.20767,0.20767,0.23235,0.08539,0.23235,0.08539
N0.HOG0001574,-43351.622776,-43608.43162,-43331.030379,-43331.047671,-44247.307612,0.13452,0.11065,0.1408,0.0981,0.14147,0.09795
N0.HOG0001577,-39638.599445,-39638.601458,-39596.19121,-39596.190007,-40359.409658,0.18331,0.18342,0.20225,0.11433,0.20228,0.11463
N0.HOG0001578,-49591.014677,-49151.248271,-50191.673146,-49130.661187,-49507.096718,0.3162,0.25306,0.32081,2.23769,0.25358,0.15125
N0.HOG0001580,-36414.769465,-36414.769465,-36384.925279,-36384.925278,-37043.383503,0.24812,0.24812,0.27858,0.18492,0.27858,0.18492
N0.HOG0001582,-27790.16232,-27790.192092,-27747.087824,-27747.082332,-28039.339007,0.25625,0.25538,0.27801,0.11722,0.2782,0.1172
N0.HOG0001583,-49978.939652,-49978.939652,-49978.821541,-49978.821602,-50601.629671,0.1853,0.1853,0.1844,0.189,0.1844,0.18902
N0.HOG0001588,-20037.792726,-19973.497621,-22175.167256,-19881.29296,-20148.345761,0.07418,0.04811,0.09899,3.81195,0.06692,0.00824
N0.HOG0001589,-15688.571303,-16573.142799,-16142.891775,-16323.840659,-15974.911077,0.0254,1e-04,0.02269,11.16366,0.01879,0.22943
N0.HOG0001591,-19264.99589,-19340.817924,-19698.142581,-21195.474425,-19445.927844,0.02276,0.02592,0.0424,2.18911,0.22783,0.43176
N0.HOG0001592,-19139.515181,-19068.411249,-19066.762312,-19479.354487,-21812.502026,0.05781,0.04679,0.04777,0.03592,0.0572,0.05233
N0.HOG0001634,-33447.451423,-33447.451423,-33447.131302,-33447.131303,-33490.424197,0.36772,0.36772,0.36984,0.33817,0.36985,0.3382
N0.HOG0001648,-89879.611769,-88759.671808,-97219.032432,-90928.342486,-91594.690883,0.2917,0.23989,1.78142,2.28746,0.81447,0.18326
N0.HOG0001650,-86917.370271,-86468.223725,-86393.005234,-86404.555745,-87667.561499,0.1714,0.16058,0.16976,0.08256,0.17006,0.08387
N0.HOG0001677,-100151.930484,-84110.441317,-86857.124884,-84077.907152,-86848.399058,2,0.09747,0.1411,0.07824,0.10798,0.07469
N0.HOG0001686,-52524.71081,-53366.882076,-52272.131276,-52577.357544,-55298.345291,0.05789,0.09555,0.07973,0.05061,0.08899,0.04406
N0.HOG0001687,-27606.265957,-27605.747402,-27598.591152,-27598.583056,-31057.477984,0.05099,0.05066,0.05575,0.03619,0.05558,0.03625
N0.HOG0001689,-27738.156382,-27738.154991,-27737.620313,-27737.620335,-27740.794391,0.07324,0.07319,0.07332,1e-04,0.0733,1e-04
